"sub","POA","token","syll_dur","v_dur","vot","Av","Ahi","max23","HiDiff","F23Diff"
14,4,8,0.2306,0.2175,0.0131,34.4,14.5,19.3,19.9,15.1
20,4,147,0.213,0.204,0.009,39.7,11.2,24.6,28.5,15.1
20,4,142,0.316,0.3,0.016,35.4,13.1,20.3,22.3,15.1
20,3,108,0.244,0.22,0.024,36.1,7.1,21,29,15.1
14,3,12,0.2961,0.2634,0.0327,43.2,17.9,27.9,25.3,15.3
20,2,49,0.433,0.396,0.037,28.5,4.8,13.2,23.7,15.3
13,4,148,0.2906,0.2768,0.0138,52.1,30.5,36.7,21.6,15.4
20,4,138,0.327,0.304,0.023,36,15.8,20.6,20.2,15.4
13,3,128,0.133,0.1126,0.0204,55.3,26.8,39.8,28.5,15.5
19,3,91,0.21,0.195,0.015,54.9,33,39.4,21.9,15.5
13,3,106,0.2819,0.2473,0.0346,54.5,25,38.9,29.5,15.6
21,4,155,0.106,0.096,0.01,46,31.8,30.4,14.2,15.6
13,4,169,0.2313,0.2166,0.0147,54.1,23.2,38.4,30.9,15.7
22,3,77,0.196,0.176,0.02,48.7,24.6,33,24.1,15.7
15,3,115,0.122,0.104,0.018,39.7,5.2,23.8,34.5,15.9
13,4,166,0.2246,0.2088,0.0158,52.1,31.5,36.1,20.6,16
20,4,158,0.199,0.188,0.011,37.1,14.5,21.1,22.6,16
13,3,122,0.2493,0.2173,0.032,57.6,19.2,41.5,38.4,16.1
19,3,95,0.197,0.186,0.011,51.7,22.2,35.6,29.5,16.1
20,3,116,0.209,0.177,0.032,34.7,1.3,18.6,33.4,16.1
21,3,106,0.119,0.105,0.014,50.4,19.7,34.3,30.7,16.1
21,3,88,0.268,0.232,0.036,50.2,27.3,34.1,22.9,16.1
19,2,56,0.2,0.188,0.012,56.2,17.6,40,38.6,16.2
20,4,131,0.36,0.341,0.019,35.5,19.3,19.3,16.2,16.2
20,4,156,0.198,0.187,0.011,35.1,6.7,18.8,28.4,16.3
20,3,102,0.231,0.207,0.024,37.9,8,21.6,29.9,16.3
20,3,113,0.208,0.183,0.025,34.4,2.7,18.1,31.7,16.3
14,4,19,0.2128,0.207,0.0058,42.1,18,25.7,24.1,16.4
14,2,8,0.1912,0.1733,0.0179,37.9,15.3,21.5,22.6,16.4
21,4,129,0.256,0.246,0.01,48.3,36.6,31.9,11.7,16.4
15,3,112,0.127,0.112,0.015,43.6,7.1,27,36.5,16.6
21,4,122,0.27,0.259,0.011,50.3,30.8,33.7,19.5,16.6
21,3,84,0.259,0.234,0.025,49.3,30,32.7,19.3,16.6
17,3,94,0.295,0.256,0.039,46.1,23.2,29.4,22.9,16.7
20,4,145,0.219,0.199,0.02,33.9,20.6,17.2,13.3,16.7
21,4,149,0.144,0.134,0.01,48.2,25.3,31.5,22.9,16.7
20,4,134,0.344,0.325,0.019,34.8,23.7,18,11.1,16.8
20,1,5,0.356,0.333,0.023,28.2,2.5,11.4,25.7,16.8
22,4,115,0.212,0.209,0.003,51.6,25.8,34.8,25.8,16.8
13,3,107,0.2764,0.2459,0.0305,57.8,22.4,40.9,35.4,16.9
13,4,152,0.2708,0.2558,0.015,52.2,28.1,35.2,24.1,17
19,3,93,0.202,0.189,0.013,56.2,16.2,39.1,40,17.1
21,4,138,0.173,0.162,0.011,49.3,34.1,32.2,15.2,17.1
13,4,153,0.2685,0.2576,0.0109,53.7,27.3,36.5,26.4,17.2
21,4,156,0.101,0.091,0.01,46.4,30.6,29.2,15.8,17.2
16,4,21,0.1676,0.1578,0.0098,34.4,17.3,15.9,17.1,17.3
20,4,148,0.216,0.205,0.011,35.5,20.4,18.2,15.1,17.3
20,3,96,0.388,0.352,0.036,33.5,7.7,16.2,25.8,17.3
21,3,115,0.12,0.106,0.014,51.1,22.5,33.8,28.6,17.3
21,3,97,0.275,0.25,0.025,52.4,14.6,35.1,37.8,17.3
22,3,76,0.253,0.205,0.048,47.4,14,30.1,33.4,17.3
15,3,131,0.094,0.08,0.014,43.6,3.4,26.2,40.2,17.4
20,4,157,0.221,0.209,0.012,37.1,16,19.6,21.1,17.5
20,3,122,0.111,0.08,0.031,41.2,5.1,23.7,36.1,17.5
20,3,105,0.226,0.201,0.025,38.9,2.8,21.3,36.1,17.6
15,3,121,0.089,0.075,0.014,44,6.9,26.3,37.1,17.7
13,2,56,0.2577,0.2413,0.0164,54,17.9,36.2,36.1,17.8
13,3,126,0.2339,0.1921,0.0418,59.7,21.7,41.9,38,17.8
14,4,12,0.3219,0.3103,0.0116,40.6,15,22.8,25.6,17.8
15,3,106,0.261,0.241,0.02,45.7,9.3,27.9,36.4,17.8
21,2,72,0.095,0.086,0.009,45.8,33.5,28,12.3,17.8
13,3,136,0.1335,0.1062,0.0273,49,0.01,31.1,48.99,17.9
13,4,161,0.2021,0.1888,0.0133,50.1,25.9,32.1,24.2,18
16,4,12,0.2688,0.2447,0.0241,33.9,18,2.6,15.9,18
19,2,57,0.199,0.188,0.011,51.7,20.6,33.7,31.1,18
13,3,105,0.279,0.256,0.023,55.4,27.2,37.3,28.2,18.1
13,3,114,0.2492,0.2224,0.0268,57.4,22.9,39.2,34.5,18.2
14,4,7,0.2873,0.2726,0.0147,37.7,15.3,19.4,22.4,18.3
21,4,159,0.101,0.092,0.009,44.2,29.2,25.9,15,18.3
21,4,131,0.275,0.265,0.01,49.6,34.2,31.3,15.4,18.3
22,4,113,0.346,0.341,0.005,50.5,26.4,32.2,24.1,18.3
14,3,7,0.2504,0.2281,0.0223,46.6,18.2,28.2,28.4,18.4
14,4,5,0.2652,0.2534,0.0118,39.3,16.1,20.8,23.2,18.5
17,4,141,0.268,0.25,0.018,54.7,10.7,36.2,44,18.5
19,3,98,0.184,0.171,0.013,49.8,16.4,31.2,33.4,18.6
13,4,177,0.1296,0.1105,0.0191,56.9,20,38.2,36.9,18.7
18,3,64,0.293,0.27,0.023,55.3,4.2,36.6,51.1,18.7
22,3,78,0.255,0.237,0.018,53,17.3,34.3,35.7,18.7
15,3,101,0.285,0.269,0.016,42.1,8.7,23.3,33.4,18.8
17,4,146,0.211,0.197,0.014,54,9.7,35.2,44.3,18.8
17,3,106,0.234,0.203,0.031,52,21.2,33.2,30.8,18.8
17,3,98,0.33,0.291,0.039,53.6,22.7,34.8,30.9,18.8
20,4,155,0.201,0.192,0.009,37.8,9.4,19,28.4,18.8
20,4,144,0.244,0.222,0.022,28.1,15.8,9.3,12.3,18.8
21,4,141,0.176,0.169,0.007,50.7,31.2,31.9,19.5,18.8
21,4,123,0.256,0.247,0.009,51.4,31.5,32.6,19.9,18.8
13,4,144,0.2948,0.2849,0.0099,50.7,24.2,31.8,26.5,18.9
20,3,120,0.103,0.079,0.024,36.1,3.6,17.2,32.5,18.9
21,3,114,0.139,0.12,0.019,52.7,16.8,33.8,35.9,18.9
22,4,119,0.212,0.207,0.005,50.7,24.9,31.8,25.8,18.9
13,3,139,0.1393,0.1078,0.0315,51.1,-0.3,32.1,51.4,19
14,3,19,0.3175,0.2746,0.0429,41.7,11.3,22.7,30.4,19
19,2,34,0.379,0.339,0.04,49.7,21.1,30.7,28.6,19
19,4,103,0.394,0.346,0.048,47.2,20.9,28.2,26.3,19
21,4,153,0.107,0.097,0.01,50.8,26.1,31.8,24.7,19
14,4,21,0.2285,0.2175,0.011,38.5,8.7,19.4,29.8,19.1
16,4,22,0.1821,0.167,0.0151,36.5,19.1,5.9,17.4,19.1
19,3,71,0.356,0.319,0.037,50,21.3,30.9,28.7,19.1
20,3,101,0.221,0.199,0.022,39.4,4.9,20.3,34.5,19.1
21,4,143,0.173,0.165,0.008,51.3,33.2,32.2,18.1,19.1
21,3,83,0.285,0.248,0.037,48.4,21.8,29.2,26.6,19.2
22,3,95,0.235,0.223,0.012,49.6,12,30.4,37.6,19.2
18,3,65,0.303,0.283,0.02,53.9,-0.3,34.6,54.2,19.3
19,4,122,0.161,0.149,0.012,59,17.4,39.7,41.6,19.3
21,4,121,0.248,0.236,0.012,48.1,29.8,28.8,18.3,19.3
17,3,127,0.104,0.077,0.027,51.1,16.3,31.7,34.8,19.4
19,4,124,0.191,0.178,0.013,51.7,18.5,32.3,33.2,19.4
19,2,55,0.2,0.181,0.019,56,31.5,36.6,24.5,19.4
21,3,89,0.288,0.249,0.039,51.9,16.9,32.5,35,19.4
13,4,167,0.2093,0.1938,0.0155,56,26.6,36.5,29.4,19.5
13,3,123,0.2367,0.1987,0.038,58.8,23.2,39.3,35.6,19.5
13,3,127,0.2233,0.1814,0.0419,61.1,26.2,41.6,34.9,19.5
17,3,101,0.303,0.267,0.036,47.6,26.4,28.1,21.2,19.5
19,3,92,0.196,0.176,0.02,55.9,32.2,36.4,23.7,19.5
19,3,87,0.348,0.278,0.07,50.1,22.9,30.6,27.2,19.5
20,4,149,0.201,0.191,0.01,36.3,16.8,16.8,19.5,19.5
15,3,126,0.09,0.077,0.013,44.1,6.5,24.5,37.6,19.6
20,3,106,0.246,0.22,0.026,38,10.7,18.4,27.3,19.6
20,2,54,0.412,0.381,0.031,29.2,10.3,9.6,18.9,19.6
21,3,94,0.284,0.25,0.034,50.1,16.1,30.5,34,19.6
15,3,110,0.125,0.107,0.018,41.9,11.8,22.2,30.1,19.7
16,4,8,0.2364,0.2198,0.0166,33.8,19.7,17.1,14.1,19.7
19,4,130,0.199,0.179,0.02,53.2,24.2,33.5,29,19.7
19,3,72,0.395,0.349,0.046,47.2,20.7,27.5,26.5,19.7
19,2,50,0.353,0.283,0.07,50,22.7,30.3,27.3,19.7
19,4,118,0.347,0.275,0.072,50.2,23,30.5,27.2,19.7
